Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Sayur-Sayuran Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,
Kota Ambon,13747.93,698.24,1294.66,205.74,327.25,639.01,308.49,454.78,446.2,479.68,227.91,605.45,646.36,221.22,463.45,315.79,30.18,97.11,242.98,-,1771.59,1358.52,140.92,680.87,58.88,1238.24,794.41
Kota Tual,12738.99,918,1166.3,46.99,50.26,414.36,87.7,140.16,455.65,201.98,386.32,1065.01,669.46,143.57,163.64,428.69,14.8,100.6,541.86,3.77,1666.88,1416.68,25.05,276.32,24.96,1535.25,794.72
Halmahera Barat,13798.63,299.1,1274.45,66.82,31.24,122.59,38.22,261.9,447.35,35.13,183.7,1238.12,580.33,10.78,53.57,167.11,18.05,78.3,214.67,-,2521.5,2050.82,3.33,1479.59,275.73,1412.45,933.77
Halmahera Tengah,18544.19,981.89,1852.87,159.14,102.26,387.57,108.86,720.48,1813.96,128.58,627.33,552.64,1336.6,23.8,107.86,63.82,9.81,125.75,251.75,2.09,2757.79,2328.56,15.2,1321.85,87.13,2382.8,293.76
Kepulauan Sula,11114.02,563.11,1363.34,47.87,29.96,104.94,28.97,335.26,1084.41,117.2,268.11,563.44,650.96,30.06,47.53,91.97,-,65.1,158.23,-,1652.23,1220.76,4.12,990.21,19.1,1405.61,271.52
Halmahera Selatan,15260.86,411.44,1310.84,62.92,59.6,179.42,35.65,297.65,1781.7,101.8,179.86,377.69,1144.98,42.07,82.35,62.23,-,146.5,402.54,-,2574.45,1945.57,6.04,1034.45,95.05,1973.28,952.77
Halmahera Utara,14933.74,467.04,1982.79,82.44,49.98,180.92,75.14,360.81,834.69,103.94,121.93,1035.7,716.77,54.76,53.71,75.18,5.13,170.85,276.71,7.46,2596.77,1836.61,9.91,1782.34,88.81,1496.61,466.75
Halmahera Timur,14094.64,325.95,1631.48,208.58,76.41,238.8,153.42,287.83,841.84,174.39,215.75,573.51,706.97,17.73,104.37,29.12,22.34,225.98,278.54,32,2514.14,1938.36,28.3,1311.7,262.92,1643.16,251.04
Pulau Morotai,19236.34,423.8,1983.5,278.1,120.51,50.68,133.38,442.38,1100.9,334.64,265.9,617.36,986.53,34.63,14.25,90.34,3.59,138.89,472.02,3.62,3766.65,2894.55,45.73,2747.3,162.2,1551.27,573.65
Pulau Taliabu,13815.54,613.91,1779.34,98.8,18.34,190.5,73.14,623.35,1207.26,20.37,172.85,613,794.16,5.59,135.42,17.17,-,81.57,220.16,-,2497.83,1857.43,-,701.97,22.24,1566.96,504.17
Kota Ternate,15662.97,882.86,1615.59,185.58,91.35,308.18,207.21,377.76,1509.1,404.06,519.92,174.07,532.68,387.77,264.34,375.75,27.77,62.05,99.21,-,2366.12,1705.5,18.32,1265.55,15.67,2060.04,206.52
Kota Tidore Kepulauan,16589.25,551.09,1500.03,90.37,202.42,255.33,76.42,601.81,1973.51,189.29,440.96,385.26,843.71,51.58,378.46,39.87,44.62,54.36,151.88,-,2736.63,1952.73,4.88,1037.33,26.95,2160.47,839.29
Fakfak,17967.29,1295.35,2039.74,238.82,160.49,865.2,262.68,517.74,308.76,267.95,249.99,1174.35,713.27,140.01,589.64,273.87,51.16,317.39,314.63,-,2427.37,2122.74,26.03,354.13,58.69,2299.09,898.2
Kaimana,17940.64,1045.7,2377.13,81.27,158.05,488.31,153.66,580.92,524.83,297.13,381.79,717.65,851.5,106.15,223.17,538.2,49.26,227.76,519.3,12.61,2320.69,2085.03,1.7,519.79,38.29,2385.81,1254.93
Teluk Wondama,17820,1557.89,2059.81,68.97,165.44,252.97,61.68,374.48,927.45,56.86,67.03,1575.54,426.07,18.03,167.98,281.83,27.23,87.7,450.29,-,2616.85,2404.15,11.96,300.12,83.12,2081.31,1695.24
Teluk Bintuni,21252,1555.14,2451.24,292.04,232.26,540.94,108.9,565.32,851.35,233.74,123.84,1464.56,548.01,31.26,255.85,500.84,60.48,152.8,337.7,1.88,3612.25,3259.82,-,640.76,60.13,2491.72,879.17
Manokwari,18158.75,1230.34,1679.37,186.88,313.79,517.47,176.39,542.83,539.61,330.89,84.04,661.38,410.66,141.6,396.49,998.6,59.57,137.24,372.84,47.29,3410.36,2642.26,25.09,577.71,84.41,2040.83,550.8
Manokwari Selatan,17804.02,1166.29,2245.78,55.75,182.55,577.48,383.26,643.06,615.79,69.09,67.88,904.74,608.28,38.72,268.48,495.81,76.34,70.83,181.76,-,3294.67,2558.74,-,387.29,19.67,1823.56,1068.19
Pegunungan Arfak,20170.99,621.56,238.06,1944.6,2461.38,795.38,603.56,174.87,644.77,1805.28,66.74,421.67,106.67,14.05,2456.95,54.72,5.25,-,62.32,-,2832.57,2107.86,-,410.82,8.68,1581.98,751.25
Raja Ampat,15796.42,723.15,1954.69,51.07,155.9,305.8,65.06,400.88,322.56,32.5,97.04,1036.74,458.04,47.88,109.45,49.78,-,75.58,479.1,18.06,3161.63,2684.81,-,393.75,23.85,2192.65,956.46
Sorong,20560.94,1155.9,2289.29,207.28,102.07,737.32,406.83,900.57,446.61,190.89,115.11,1169.57,683.15,138.63,224.4,726.71,74.93,294.61,223.51,7.4,3114.3,2703.47,-,467.13,36.08,3230.26,914.93
Sorong Selatan,14220.95,1851.23,2769.12,3.51,9.89,496.94,43.14,441.37,327.78,14.88,39.31,857.47,176.03,5.28,181.04,125.55,-,128.98,228.65,-,1356.58,1206.85,0.84,134.27,13.6,1193.81,2614.82
Maybrat,21716.7,3169.66,2128.45,176.75,94.44,1836.73,593.55,469.96,408.07,54.89,183.21,658.4,61.81,3.38,707.12,51.22,-,78.44,146.22,-,2567.68,2204.79,-,32.13,9.35,2311.41,3769.06
Tambrauw,18033.43,1622.58,2154.45,51.35,330.92,728.64,143.54,361.42,266.23,52.3,26.44,1921.08,158.46,27.5,481.89,46.01,6.63,76.74,338.68,-,2932.9,2527.97,-,27.83,33.85,2363.83,1352.18
Kota Sorong,18562.01,1236.16,2057.23,83.28,128.32,999.13,221.93,577.66,790.27,465.31,324.42,473.34,582.96,186.43,340.81,905.59,45.19,93.49,185.19,1.56,2746.24,2385.8,46.37,867.58,20.19,2338.93,458.62
Jayapura,26710.92,1866.38,2715.79,415.82,405.1,961.75,400.68,973.25,543.43,399.63,268.39,1960.99,842.82,282.9,1071.88,862.54,223.69,239.59,764.67,12.32,3505.75,2855.7,97.36,1125.76,179.17,2713.05,1022.51
Kepulauan Yapen,15501.23,1538.34,2033.88,56.19,196.31,368.3,77.68,649.18,343.7,112.71,155.45,816.91,482.47,109.08,476.03,236.85,68.96,106.06,302.7,-,2708.67,2228.65,21.47,441.37,50.97,1083.11,836.22
Biak Numfor,12148.87,841.69,1603.43,109.27,209.66,631.49,157.5,227.87,373.1,262.22,170.8,660.79,189.31,102.44,187.57,460.84,36.87,15.11,234.73,-,1695.96,1603.92,31.16,319,38.42,1242.3,743.42
Sarmi,15883.53,1442.79,2639.22,57.27,92.76,487.79,251.16,743.47,540.15,120.96,82.59,549.71,292.79,84.86,203.4,386.56,1.04,113.63,255.9,-,2603.53,2283.15,12.24,823.42,63.6,1590.25,161.29
Keerom,14368.1,1164.12,1097.68,160.49,126.05,435.7,93.62,513.54,220.67,138.65,89.72,741.93,472.16,103.8,276.76,501.2,35.39,47.42,211.21,76.42,2158.84,1931.8,6.3,233.98,163.94,2766.68,600.01
Waropen,15995.54,1441.03,2855.81,73.44,238.25,605.42,74.59,524.58,351.63,173.85,169.36,1213.06,890.52,48.56,479.1,156.6,42.89,261.61,310.9,19.75,2067.66,1995.67,6.04,611.35,3.33,1020.24,360.29
Supiori,16448.52,1338.45,2266.19,138.73,547.21,321.62,127.82,838.09,311.52,128.03,434.07,1248.78,481.85,139.25,240.31,208.23,48.38,149.14,787.97,-,1731.32,1713.47,27.24,580.1,21.32,1437.76,1181.66
Mamberamo Raya,12445.04,626.35,3805.61,16.29,-,35.7,-,706.86,134.88,38.67,56.65,1775.11,223,-,4.38,-,-,185.02,252.16,-,1486.59,1460.04,-,484.7,91.37,385.42,676.25
Kota Jayapura,19740.42,1416.92,2045.92,175.35,244.51,783.73,277.28,635.25,638.95,514.48,160.28,398.1,537.44,195.84,543.04,1314.51,174.6,41.63,90.57,49.1,3263.6,2735.7,102.22,887.05,64.95,2091.54,357.84
Merauke,18247.72,888.39,1623.29,345.8,33.85,975.42,240.4,715.3,408.45,607.48,182.79,965.01,654.64,305.38,401.48,482.92,68.94,163.9,487.75,97.69,2055.45,1649.93,71.97,583.31,154.87,3628.5,454.8
Boven Digoel,17234.65,1276.67,1841.14,430.35,74.04,744.59,146.27,733.6,816.08,547.93,187.75,1185.39,452.51,173.71,336.66,217.02,1.05,367.93,463.22,-,2136.1,1650.45,50.99,638.16,39.07,1733.06,990.89
Mappi,11957.58,591.46,1395.82,25.38,33.53,309.37,19.77,360,113.41,134.48,168.71,1693.29,237.67,18.46,206.2,178.72,-,653.9,766.12,16.19,1650.56,1426.34,53.82,198,250.57,1116.76,339.04
Asmat,13186.19,867.81,3019.87,39.37,122.75,660.71,120.87,761.58,389.88,269.04,127.89,1672.12,59.47,8.39,190.68,67.6,9.15,133.69,123.32,-,1373.11,1109.92,8.94,152.91,27.98,1219.09,650.05
Mimika,22111.43,1273.13,2159.78,468.71,230.24,1223.43,137.62,573.88,777.26,476.42,344.08,797.48,381.56,78.43,286.24,1122.39,345.63,133.84,225.02,-,3759.48,3055.69,26.5,483.19,105.23,3099.35,546.82
Dogiyai,21105.28,670.43,879.95,2085.8,1052,1686.41,1138.78,299.9,1392.46,1252.8,394.87,319.49,57.76,54.03,1132.47,-,-,34.15,13.13,-,2873.83,2752.67,1.23,295.66,5.43,1974.78,737.23
Deiyai,30830.64,3510.57,1885.48,2616.9,2012.35,1665.74,1691.35,1061.89,1515.21,1873.76,884.22,1388.45,40.31,10.44,2130.63,-,-,11.66,74.72,-,1885.92,2154.62,-,427.74,202.38,2774.02,1012.3
Nabire,19655.45,1296.06,1984.12,168.95,174.47,885.71,267.19,735.8,650.34,250.58,161.37,850.81,515.97,120.64,276.08,1042.54,253.44,174.57,204.06,-,3148.19,2582.41,63.59,518.24,66.11,2859.76,404.46
Paniai,36441.82,3206.5,1257.63,3380.03,3040.42,914.59,2235.67,616.12,2471.21,2870.35,441.18,885.36,121.71,23.14,2905.31,-,-,4.37,17.69,-,2207.71,2558.36,-,-,-,5881.51,1402.96
Intan Jaya,57186.17,6364.45,3410.06,5200.9,3479.69,2685,2945.54,1189.06,4568.02,3478.92,911.2,1619.96,54.57,14.22,3848.02,-,-,-,16.48,-,3305.79,3342.97,-,1974.77,389.43,7435.84,951.3
Puncak,39229.52,9.41,2340.43,2351.96,3086.5,-,2784.85,-,5.44,3142.06,-,536.98,-,-,3154.42,-,-,-,-,-,6947.92,5711.23,-,10.93,1217.49,7929.93,-
Puncak Jaya,61847.07,7463.63,2549.81,4971.68,4328.99,1549.04,2134.6,896.01,18.26,2542.93,264.76,8020.19,541.83,17.8,2070.66,-,-,-,8.4,-,8045.45,6637.48,7.97,6324.96,9.39,1792.65,1650.56
Nduga,38783.26,3206.93,753.28,2548.7,526.97,1947.21,1308.3,887.22,1211.27,480.24,745.78,2580.58,8.31,16.77,3046.99,-,-,0.65,43.16,-,5497.74,3918.97,-,101.39,46.86,4080.15,5825.8
Jayawijaya,44551.24,3122.32,1678.74,3615.15,2365,1982.53,823.6,835.96,3610.16,1333.09,1328.59,1736.86,524,442,2319.28,69.27,1.69,16.48,12.41,78.39,5318.73,4466.66,16.3,261.18,34.87,4820.55,3737.44
Lanny Jaya,47572.83,3484.89,219.32,5767.99,3368.77,3084.05,1438.16,208.45,2602.95,664.59,1215.93,246.39,22.11,19.33,3807.12,-,-,-,-,16.55,6469.51,4292.24,1.11,1.33,61.17,4846.22,5734.64
Tolikara,39267.18,2249.56,841.66,5088.12,2196.23,3480.85,676.86,143.31,2644.2,1149.34,2542.44,1857.59,341.57,-,3685.19,35.58,-,-,-,-,1497.65,1129.99,-,30.66,40.59,1717.67,7918.12
Mamberamo Tengah,53463.61,3220.42,33.58,8236.81,5187.12,3062.02,45.97,86.5,6220.44,252.03,2411.78,778.34,3.29,49.69,2590.65,-,-,-,-,-,4787.65,4868.63,45.11,3.98,167.18,5740.36,5672.08
Yalimo,71031.72,2864.5,248.22,5445.08,982.48,564.57,4812.64,5659.46,654.01,821.08,883.4,1292.11,332.22,56.21,4040.37,-,3.18,-,41.08,-,14648.94,12197.68,-,13.42,97.96,5913.99,9459.13
Yahukimo,29992.79,2817.24,2238.51,2439.66,2594.77,1479.26,1125.83,1491.04,351.11,1109.19,1782.51,2246.57,214.58,-,3858.49,3.94,-,2.3,428.51,-,1332.29,966.76,2.8,55.33,-,565.62,2886.48
Pegunungan Bintang,36658.6,3158.42,3125.67,3270.08,1218.66,3087.31,1039.37,591,2052.87,718.77,422.64,3984.49,84.59,-,3847.45,-,-,-,14.69,-,942.56,921.62,-,61.18,-,2006.65,6110.58
